taxa.level	taxa.name	age	richness	e.div.0	e.div.5	e.div.9
Order	Blastocladiales	730.15	7	0.002665083	0.001898643	0.000643708
Order	Dacrymycetales	385.560121	47	0.009985855	0.008242693	0.004468218
Order	Geosiphonales	255.329542	3	0.004302723	0.002714716	0.000714064
Order	Diversisporales	199.488666	87	0.022386776	0.018969447	0.011337803
Order	Lecanoromycetidae	198.54293	89	0.022607888	0.019172994	0.011495662
Order	Pertusariales	198.54293	337	0.029313977	0.02583773	0.017849307
Order	Peltigerales	221.964012	9	0.009899013	0.007250896	0.002648117
Order	Ostropales	322.039321	1	0	0	0
Order	Ascomycetes	455.347852	406	0.013190692	0.011673858	0.008182082
Order	Pezizales	441.353682	2460	0.017690838	0.016121256	0.012482015
Order	Schizosaccharomycetales	412.577659	29	0.008161605	0.006563734	0.003235757
Order	Taphrinales	488.92698	306	0.011706421	0.010295404	0.007056243
Order	Ustilaginales	288.737998	273	0.01942755	0.017039603	0.011565232
Order	Andreaeobryales	257.121827	1	0	0	0
Order	Andreaeales	268.828333	101	0.017167538	0.014625786	0.008919801
Order	Phymatocerotales	110.855686	2	0.006252698	0.003657594	0.000859768
Order	Dendrocerotales	110.855688	19	0.026561009	0.020771014	0.009287926
Order	Notothyladales	142.451471	18	0.020290221	0.015803921	0.006972562
Order	Anthocerotales	228.723499	11	0.010483817	0.007833736	0.003030503
Order	Pottiales	162.086885	1627	0.045620552	0.04134795	0.031448716
Order	Hypnobryales	49.507124	9	0.044381988	0.032509219	0.011872769
Order	Hedwigiales	42.609728	4	0.032534692	0.021504261	0.006157379
Order	Hypnodendrales	64.8763	2	0.010684136	0.006249819	0.001469106
Order	Scouleriales	91.115613	3	0.012057344	0.007607337	0.002000991
Order	Grimmiales	79.125768	366	0.074598117	0.065872532	0.045804812
Order	Schistostegiales	76.10024	1	0	0	0
Order	Seligerales	79.125766	56	0.050872831	0.042336451	0.023656039
Order	Archidiales	84.383724	37	0.04279164	0.034893447	0.018084723
Order	Fissidentales	92.449732	521	0.067666503	0.060189687	0.042945413
Order	Rhizogoniales	114.037232	11	0.021027302	0.015712057	0.006078253
Order	Diphysciales	197.599484	1	0	0	0
Order	Buxbaumiales	212.256204	28	0.015698973	0.012598683	0.006163932
Order	Polytrichales	224.356226	235	0.024334451	0.021263883	0.014238888
Order	Tetraphidales	232.941112	5	0.006909205	0.004716266	0.001444452
Order	Cycadales	252.292548	301	0.022621002	0.019886754	0.013611132
Order	Equisetales	374.811818	40	0.009841951	0.00805851	0.004240088
Order	Ginkgoales	252.292546	1	0	0	0
Order	Welwitschiales	160.664014	1	0	0	0
Order	Gnetales	160.664014	41	0.023113901	0.018949623	0.010017414
Order	Ephedrales	201.318426	70	0.02110336	0.01773078	0.010266635
Order	Treubiales	450.907578	2	0.001537227	0.00089922	0.000211374
Order	Calobryales	450.907581	1	0	0	0
Order	Ptilidiales	279.329608	5	0.005761788	0.003933032	0.001204571
Order	Porellales	275.136224	204	0.019329043	0.016827529	0.011117064
Order	Pallaviciniales	270.23491	19	0.01089585	0.00852068	0.00381009
Order	Fossombroniales	270.23491	13	0.009491554	0.00720081	0.002917674
Order	Pelliales	292.132456	4	0.004745431	0.003136559	0.0008981
Order	Metzgeriales	393.453364	32	0.008808505	0.007125013	0.003586161
Order	Pleuroziales	356.26321	4	0.003891208	0.002571949	0.000736434
Order	Leiosporocerotales	323.138648	1	0	0	0
Order	Liliales	210.311258	1736	0.035468091	0.032175014	0.024544215
Order	Poales	186.805028	23362	0.05384687	0.050136561	0.041522791
Order	Alismatales	220.174533	3953	0.037616658	0.034469635	0.027168987
Order	Zingiberales	159.307657	2619	0.049404705	0.045056104	0.034972539
Order	Asparagales	200.911465	776	0.033119825	0.029676222	0.021716524
Order	Pandanales	161.067943	1579	0.045723233	0.041423717	0.031462782
Order	Dioscoreales	211.725075	844	0.031825009	0.028556794	0.020999754
Order	Commelinales	159.307657	885	0.042594234	0.038250326	0.028204047
Order	Petrosaviales	161.067941	4	0.008606892	0.005688846	0.001628904
Order	Arecales	189.087226	2561	0.041505464	0.037841775	0.029346647
Order	Dasypogonales	190.644237	16	0.01454326	0.011225444	0.004806286
Order	Acorales	226.792242	2	0.003056309	0.001787826	0.000420253
Order	Isoetales	390.368741	190	0.013441199	0.011679025	0.007661268
Order	Selaginellales	390.368741	684	0.016722543	0.014950663	0.010857542
Order	Lycopodiales	432.791706	482	0.014274636	0.012677853	0.008997074
Order	Fagales	92.087371	1564	0.079869822	0.072349703	0.05492778
Order	Dipsacales	60.199922	1325	0.119421546	0.10791999	0.081285024
Order	Crossosomatales	105.996032	72	0.040347417	0.033938179	0.019735305
Order	Geraniales	106.827714	818	0.062782045	0.056305023	0.041330283
Order	Myrtales	107.688062	8733	0.084269919	0.077834362	0.062897494
Order	Apiales	62.712746	5855	0.138329954	0.127279945	0.101638065
Order	Brassicales	78.087444	3840	0.105692122	0.096818905	0.076234837
Order	Saxifragales	112.570859	3020	0.07118194	0.065027451	0.050753834
